sample_name	genus	clade	alignment_length	genome_equivalents
KJ21	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	48	0.00013355420263967316
KJ21	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	307	0.0008541904210495763
KJ21	Synechococcus	Synechococcus subsubclade 5.1B-HK1	145	0.0004034449871406794
KJ21	Synechococcus	Synechococcus subsubclade 5.1B-I	563	0.0015664795017945
KJ21	Synechococcus	Synechococcus subsubclade 5.1B-IX	294	0.0008180194911679982
KJ21	Synechococcus	Synechococcus subsubclade 5.1B-VI	50	0.0001391189610829929
KJ21	Synechococcus	Synechococcus subsubclade 5.1B-VII	50	0.0001391189610829929
KJ21	Synechococcus	Synechococcus subsubclade 5.1B-XVI	47	0.0001307718234180133
KJ21	Synechococcus	Synechococcus subsubclade 5.2A	377	0.0010489569665657664
KJ21	Synechococcus	Synechococcus subsubclade 5.2B	193	0.0005369991897803526
KJ21	Synechococcus	Synechococcus subsubclade 5.2C	318	0.0008847965924878348
KJ21	Synechococcus	Synechococcus subsubclade 5.3	13177	0.036663411003811944
KJ21	Synechococcus	Synechococcus subsubclade RSCCF101	98	0.00027267316372266604
KJ21	Synechococcus	unclassified	1416	0.003939848977870359
KJ24	Prochlorococcus	Prochlorococcus subclade AMZ-I	32	8.903613509311545e-05
KJ24	Prochlorococcus	Prochlorococcus subclade AMZ-III	92	0.0002559788883927069
KJ24	Prochlorococcus	Prochlorococcus subclade HLI	1930	0.005369991897803525
KJ24	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	36922	0.10273100562212527
KJ24	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	540	0.0015024847796963232
KJ24	Prochlorococcus	Prochlorococcus subclade LLI	7301	0.02031415069733862
KJ24	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	531	0.0014774433667013845
KJ24	Prochlorococcus	Prochlorococcus subclade LLVII	997	0.0027740320839948784
KJ24	Prochlorococcus	Prochlorococcus subclade LLVIII	116	0.0003227559897125435
KJ24	Prochlorococcus	unclassified	12497	0.034771393133083243
KJ24	Synechococcus	Synechococcus subsubclade 5.1A-AG676E04	50	0.0001391189610829929
KJ24	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	49	0.00013633658186133302
KJ24	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	124	0.00034501502348582234
KJ24	Synechococcus	Synechococcus subsubclade 5.1A-II	706	0.0019643597304918594
KJ24	Synechococcus	Synechococcus subsubclade 5.1A-IV	49	0.00013633658186133302
KJ24	Synechococcus	Synechococcus subsubclade 5.1B-I	259	0.0007206362184099032
KJ24	Synechococcus	Synechococcus subsubclade 5.1B-IX	86	0.00023928461306274777
KJ24	Synechococcus	Synechococcus subsubclade 5.1B-V	49	0.00013633658186133302
KJ24	Synechococcus	Synechococcus subsubclade 5.1B-VII	240	0.0006677710131983658
KJ24	Synechococcus	Synechococcus subsubclade 5.1B-VIII	145	0.0004034449871406794
KJ24	Synechococcus	Synechococcus subsubclade 5.1B-XVI	147	0.0004090097455839991
KJ24	Synechococcus	Synechococcus subsubclade 5.2B	43	0.00011964230653137388
KJ24	Synechococcus	Synechococcus subsubclade 5.2C	97	0.0002698907845010062
KJ24	Synechococcus	Synechococcus subsubclade 5.3	3944	0.010973703650226478
KJ24	Synechococcus	Synechococcus subsubclade RSCCF101	36	0.00010016565197975488
KJ24	Synechococcus	unclassified	615	0.0017111632213208125
KJ27	Prochlorococcus	Prochlorococcus subclade AMZ-II	49	0.00013633658186133302
KJ27	Prochlorococcus	Prochlorococcus subclade AMZ-III	145	0.0004034449871406794
KJ27	Prochlorococcus	Prochlorococcus subclade HLI	2997	0.008338790527314593
KJ27	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	62762	0.174627684709816
KJ27	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	323	0.000898708488596134
KJ27	Prochlorococcus	Prochlorococcus subclade LLI	13000	0.03617092988157815
KJ27	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	821	0.0022843333409827433
KJ27	Prochlorococcus	Prochlorococcus subclade LLVII	1379	0.003836900946668944
KJ27	Prochlorococcus	Prochlorococcus subclade LLVIII	480	0.0013355420263967317
KJ27	Prochlorococcus	unclassified	22098	0.06148501604023954
KJ27	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	440	0.0012242468575303373
KJ27	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	322	0.0008959261093744742
KJ27	Synechococcus	Synechococcus subsubclade 5.1A-II	3173	0.008828489270326728
KJ27	Synechococcus	Synechococcus subsubclade 5.1A-III	567	0.0015776090186811393
KJ27	Synechococcus	Synechococcus subsubclade 5.1A-IV	189	0.0005258696728937131
KJ27	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	372	0.0010350450704574672
KJ27	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	140	0.0003895330910323801
KJ27	Synechococcus	Synechococcus subsubclade 5.1B-I	280	0.0007790661820647602
KJ27	Synechococcus	Synechococcus subsubclade 5.1B-VII	48	0.00013355420263967316
KJ27	Synechococcus	Synechococcus subsubclade 5.1B-XVI	178	0.0004952635014554547
KJ27	Synechococcus	Synechococcus subsubclade 5.2A	188	0.0005230872936720532
KJ27	Synechococcus	Synechococcus subsubclade 5.2B	90	0.0002504141299493872
KJ27	Synechococcus	Synechococcus subsubclade 5.2C	275	0.0007651542859564609
KJ27	Synechococcus	Synechococcus subsubclade 5.3	4882	0.013583575360143426
KJ27	Synechococcus	Synechococcus subsubclade RSCCF101	114	0.0003171912312692238
KJ27	Synechococcus	unclassified	1652	0.004596490474182085
KJ30	Prochlorococcus	Prochlorococcus subclade AMZ-I	642	0.0017862874603056286
KJ30	Prochlorococcus	Prochlorococcus subclade AMZ-II	344	0.0009571384522509911
KJ30	Prochlorococcus	Prochlorococcus subclade AMZ-III	824	0.0022926804786477227
KJ30	Prochlorococcus	Prochlorococcus subclade HLI	86335	0.24021671010200382
KJ30	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	2391426	6.653854012537147
KJ30	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	20597	0.05730866482852809
KJ30	Prochlorococcus	Prochlorococcus subclade LLI	348312	0.9691360714547884
KJ30	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	9564	0.02661067487595488
KJ30	Prochlorococcus	Prochlorococcus subclade LLIV	1919	0.005339385726365267
KJ30	Prochlorococcus	Prochlorococcus subclade LLVII	10752	0.02991614139128679
KJ30	Prochlorococcus	Prochlorococcus subclade LLVIII	2496	0.006944818537263005
KJ30	Prochlorococcus	unclassified	903835	2.5148117238089376
KJ30	Synechococcus	Synechococcus subsubclade 5.1A-AG676E04	197	0.000548128706666992
KJ30	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	1452	0.004040014629850114
KJ30	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	5787	0.016101628555745595
KJ30	Synechococcus	Synechococcus subsubclade 5.1A-II	74327	0.20680590040831226
KJ30	Synechococcus	Synechococcus subsubclade 5.1A-III	13277	0.036941648925977934
KJ30	Synechococcus	Synechococcus subsubclade 5.1A-IV	2178	0.00606002194477517
KJ30	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	1917	0.005333820967921947
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	1345	0.003742300053132509
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-HK1	239	0.000664988633976706
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-I	1876	0.005219743419833893
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-IX	243	0.0006761181508633454
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-V	196	0.0005453463274453321
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-VI	113	0.0003144088520475639
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-VII	284	0.0007901956989513996
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-VIII	192	0.0005342168105586927
KJ30	Synechococcus	Synechococcus subsubclade 5.1B-XVI	545	0.0015163966758046225
KJ30	Synechococcus	Synechococcus subsubclade 5.2A	769	0.0021396496214564306
KJ30	Synechococcus	Synechococcus subsubclade 5.2B	432	0.0012019878237570585
KJ30	Synechococcus	Synechococcus subsubclade 5.2C	494	0.0013744953354999697
KJ30	Synechococcus	Synechococcus subsubclade 5.3	7821	0.02176098789260175
KJ30	Synechococcus	Synechococcus subsubclade RSCCF101	295	0.000820801870389658
KJ30	Synechococcus	unclassified	21856	0.06081168026859785
KJ33	Prochlorococcus	Prochlorococcus subclade AMZ-I	474	0.0013188477510667725
KJ33	Prochlorococcus	Prochlorococcus subclade AMZ-II	217	0.0006037762911001891
KJ33	Prochlorococcus	Prochlorococcus subclade AMZ-III	609	0.0016944689459908533
KJ33	Prochlorococcus	Prochlorococcus subclade HLI	532	0.0014802257459230444
KJ33	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	1694	0.004713350401491799
KJ33	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	332	0.0009237499015910728
KJ33	Prochlorococcus	Prochlorococcus subclade LLI	20209	0.056229101690524065
KJ33	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	2661	0.007403911108836881
KJ33	Prochlorococcus	Prochlorococcus subclade LLIV	1506	0.004190263107819746
KJ33	Prochlorococcus	Prochlorococcus subclade LLVII	8864	0.02466300942079298
KJ33	Prochlorococcus	Prochlorococcus subclade LLVIII	645	0.0017946345979706082
KJ33	Prochlorococcus	unclassified	3021	0.00840556762863443
KJ33	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	95	0.0002643260260576865
KJ33	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	98	0.00027267316372266604
KJ33	Synechococcus	Synechococcus subsubclade 5.1A-II	172	0.00047856922612549553
KJ33	Synechococcus	Synechococcus subsubclade 5.1A-III	164	0.00045631019235221665
KJ33	Synechococcus	Synechococcus subsubclade 5.1A-IV	140	0.0003895330910323801
KJ33	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	79	0.00021980795851112876
KJ33	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	293	0.0008152371119463383
KJ33	Synechococcus	Synechococcus subsubclade 5.1B-I	381	0.0010600864834524057
KJ33	Synechococcus	Synechococcus subsubclade 5.1B-IX	98	0.00027267316372266604
KJ33	Synechococcus	Synechococcus subsubclade 5.1B-V	100	0.0002782379221659858
KJ33	Synechococcus	Synechococcus subsubclade 5.1B-VI	100	0.0002782379221659858
KJ33	Synechococcus	Synechococcus subsubclade 5.1B-VII	38	0.0001057304104230746
KJ33	Synechococcus	Synechococcus subsubclade 5.1B-VIII	245	0.0006816829093066652
KJ33	Synechococcus	Synechococcus subsubclade 5.1B-XVI	99	0.0002754555429443259
KJ33	Synechococcus	Synechococcus subsubclade 5.2A	142	0.0003950978494756998
KJ33	Synechococcus	Synechococcus subsubclade 5.2B	230	0.0006399472209817673
KJ33	Synechococcus	Synechococcus subsubclade 5.2C	121	0.0003366678858208428
KJ33	Synechococcus	Synechococcus subsubclade 5.3	5182	0.014418289126641382
KJ33	Synechococcus	unclassified	330	0.0009181851431477531
KJ36	Prochlorococcus	Prochlorococcus subclade AMZ-I	147	0.0004090097455839991
KJ36	Prochlorococcus	Prochlorococcus subclade AMZ-III	455	0.0012659825458552353
KJ36	Prochlorococcus	Prochlorococcus subclade HLI	199	0.0005536934651103117
KJ36	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	745	0.002072872520136594
KJ36	Prochlorococcus	Prochlorococcus subclade LLI	17146	0.04770667413457992
KJ36	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	1681	0.0046771794716102206
KJ36	Prochlorococcus	Prochlorococcus subclade LLIV	308	0.0008569728002712362
KJ36	Prochlorococcus	Prochlorococcus subclade LLVII	4777	0.01329142554186914
KJ36	Prochlorococcus	Prochlorococcus subclade LLVIII	400	0.0011129516886639432
KJ36	Prochlorococcus	unclassified	2849	0.007926998402508935
KJ36	Synechococcus	Synechococcus subsubclade 5.1A-AG676E04	80	0.00022259033773278862
KJ36	Synechococcus	Synechococcus subsubclade 5.1A-II	132	0.0003672740572591012
KJ36	Synechococcus	Synechococcus subsubclade 5.1A-III	38	0.0001057304104230746
KJ36	Synechococcus	Synechococcus subsubclade 5.1A-IV	49	0.00013633658186133302
KJ36	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	28	7.790661820647602e-05
KJ36	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	49	0.00013633658186133302
KJ36	Synechococcus	Synechococcus subsubclade 5.1B-HK1	98	0.00027267316372266604
KJ36	Synechococcus	Synechococcus subsubclade 5.1B-I	161	0.0004479630546872371
KJ36	Synechococcus	Synechococcus subsubclade 5.1B-VIII	150	0.00041735688324897864
KJ36	Synechococcus	Synechococcus subsubclade 5.2B	180	0.0005008282598987744
KJ36	Synechococcus	Synechococcus subsubclade 5.2C	191	0.0005314344313370328
KJ36	Synechococcus	Synechococcus subsubclade 5.3	446	0.0012409411328602965
KJ36	Synechococcus	unclassified	274	0.000762371906734801
KJ39	Prochlorococcus	Prochlorococcus subclade AMZ-I	393	0.001093475034112324
KJ39	Prochlorococcus	Prochlorococcus subclade AMZ-II	111	0.0003088440936042442
KJ39	Prochlorococcus	Prochlorococcus subclade AMZ-III	865	0.002406758026735777
KJ39	Prochlorococcus	Prochlorococcus subclade HLI	469	0.0013049358549584733
KJ39	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	1762	0.004902552188564669
KJ39	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	270	0.0007512423898481616
KJ39	Prochlorococcus	Prochlorococcus subclade LLI	48270	0.13430544502952133
KJ39	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	4377	0.012178473853205198
KJ39	Prochlorococcus	Prochlorococcus subclade LLIV	1657	0.004610402370290385
KJ39	Prochlorococcus	Prochlorococcus subclade LLVII	12227	0.034020150743235084
KJ39	Prochlorococcus	Prochlorococcus subclade LLVIII	910	0.0025319650917104706
KJ39	Prochlorococcus	unclassified	7011	0.019507260723057262
KJ39	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	48	0.00013355420263967316
KJ39	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	410	0.0011407754808805417
KJ39	Synechococcus	Synechococcus subsubclade 5.1A-II	234	0.0006510767378684067
KJ39	Synechococcus	Synechococcus subsubclade 5.1A-III	93	0.0002587612676143668
KJ39	Synechococcus	Synechococcus subsubclade 5.1A-IV	78	0.0002170255792894689
KJ39	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	49	0.00013633658186133302
KJ39	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	142	0.0003950978494756998
KJ39	Synechococcus	Synechococcus subsubclade 5.1B-I	427	0.0011880759276487593
KJ39	Synechococcus	Synechococcus subsubclade 5.1B-V	49	0.00013633658186133302
KJ39	Synechococcus	Synechococcus subsubclade 5.1B-VI	50	0.0001391189610829929
KJ39	Synechococcus	Synechococcus subsubclade 5.1B-VIII	91	0.00025319650917104703
KJ39	Synechococcus	Synechococcus subsubclade 5.1B-XVI	97	0.0002698907845010062
KJ39	Synechococcus	Synechococcus subsubclade 5.2A	48	0.00013355420263967316
KJ39	Synechococcus	Synechococcus subsubclade 5.2B	98	0.00027267316372266604
KJ39	Synechococcus	Synechococcus subsubclade 5.2C	97	0.0002698907845010062
KJ39	Synechococcus	Synechococcus subsubclade 5.3	330	0.0009181851431477531
KJ39	Synechococcus	Synechococcus subsubclade RSCCF101	98	0.00027267316372266604
KJ39	Synechococcus	unclassified	640	0.001780722701862309
KJ42	Prochlorococcus	Prochlorococcus subclade AMZ-I	5772	0.0160598928674207
KJ42	Prochlorococcus	Prochlorococcus subclade AMZ-II	4092	0.011385495775032138
KJ42	Prochlorococcus	Prochlorococcus subclade AMZ-III	3357	0.009340447047112142
KJ42	Prochlorococcus	Prochlorococcus subclade HLI	4241	0.011800070279059457
KJ42	Prochlorococcus	Prochlorococcus subclade HLII-HLVI	27416	0.07628170874102666
KJ42	Prochlorococcus	Prochlorococcus subclade HLIII-HLIV	2352	0.006544155929343986
KJ42	Prochlorococcus	Prochlorococcus subclade LLI	760173	2.115089560066839
KJ42	Prochlorococcus	Prochlorococcus subclade LLII-LLIII	97185	0.2704055246570133
KJ42	Prochlorococcus	Prochlorococcus subclade LLIV	33300	0.09265322808127327
KJ42	Prochlorococcus	Prochlorococcus subclade LLVII	241632	0.6723118560881147
KJ42	Prochlorococcus	Prochlorococcus subclade LLVIII	17608	0.048992133334986775
KJ42	Prochlorococcus	unclassified	114969	0.3198873567350122
KJ42	Synechococcus	Synechococcus subsubclade 5.1A-AG676E04	321	0.0008931437301528143
KJ42	Synechococcus	Synechococcus subsubclade 5.1A-CRD2	555	0.001544220468021221
KJ42	Synechococcus	Synechococcus subsubclade 5.1A-EnvC-UC-A	3033	0.00843895617929435
KJ42	Synechococcus	Synechococcus subsubclade 5.1A-II	2434	0.0067723110255200935
KJ42	Synechococcus	Synechococcus subsubclade 5.1A-III	781	0.002173038172116349
KJ42	Synechococcus	Synechococcus subsubclade 5.1A-IV	2093	0.0058235197109340825
KJ42	Synechococcus	Synechococcus subsubclade 5.1A-WPC1	958	0.0026655192943501435
KJ42	Synechococcus	Synechococcus subsubclade 5.1B-CRD1	2932	0.008157935877906704
KJ42	Synechococcus	Synechococcus subsubclade 5.1B-HK1	861	0.0023956285098491376
KJ42	Synechococcus	Synechococcus subsubclade 5.1B-I	3017	0.00839443811174779
